Tópico,Pregunta,Total Puntos,Total Puntos a Considerar,Punto 1,Puntuación 1,Punto 2,Puntuación 2,Punto 3,Puntuación 3,ID,Scoring Guideline,Tópico,Pregunta,Total Puntos,Total Puntos a Considerar,Punto 1,Puntuación 1,Punto 2,Puntuación 2,Punto 3,Puntuación 3,ID,Scoring Guideline,Response,Response_100,Bad_Response,Response_Sin_Pauta,Response_Sin_Pauta_Alejada
Montículo,"En un montículo de máximos, ¿dónde se encuentra el máximo y el mínimo elemento?",2.0,2,El máximo se encuentra en la raíz,1.0,El mínimo se encuentra en una hoja (que no es equivalente a  dentro del arreglo),1.0,,0.0,c4f6c99ba30f4d5f46848e0e601c89658a56f8aa7ec7466134ab26eb1dd17a98,"Punto 1: El máximo se encuentra en la raíz (Puntuación: 1.0), Punto 2: El mínimo se encuentra en una hoja (que no es equivalente a  dentro del arreglo) (Puntuación: 1.0)",Montículo,"En un montículo de máximos, ¿dónde se encuentra el máximo y el mínimo elemento?",2.0,2,El máximo se encuentra en la raíz,1.0,El mínimo se encuentra en una hoja (que no es equivalente a  dentro del arreglo),1.0,,0.0,c4f6c99ba30f4d5f46848e0e601c89658a56f8aa7ec7466134ab26eb1dd17a98,"Punto 1: El máximo se encuentra en la raíz (Puntuación: 1.0), Punto 2: El mínimo se encuentra en una hoja (que no es equivalente a  dentro del arreglo) (Puntuación: 1.0)","En un montículo de máximos, el máximo elemento se encuentra en la raíz del montículo y el mínimo elemento se encuentra en una hoja del montículo.","En un montículo de máximos, el máximo se encuentra en la raíz del montículo, mientras que el mínimo se encuentra en una hoja del montículo. Es importante destacar que el mínimo en esta context referido al valor mínimo y no a la posición mínima dentro del arreglo.","En un montículo de máximos, el máximo se encuentra en la raíz y el mínimo se encuentra en una hoja (que no es equivalente a dentro del arreglo).","En un montículo de máximos, el máximo elemento se encuentra en la raíz del árbol y el mínimo elemento se encuentra en un nodo hoja.","En el contexto de un proyecto de análisis de datos que utiliza un montículo de máximos para almacenar los valores máximos de una variable, ¿qué posición ocupa el valor máximo en el montículo?"
Montículo,"En un montículo de máximos, ¿cómo encuentro el mínimo elemento?",2.0,2,Revisar el arreglo (las hojas),1.0,Usar una variable auxiliar para ir almacenando el mínimo elemento,1.0,,0.0,ef837014740ada5351f39db6910208979dac8b81cd79a12fd983d6c7075db77b,"Punto 1: Revisar el arreglo (las hojas) (Puntuación: 1.0), Punto 2: Usar una variable auxiliar para ir almacenando el mínimo elemento (Puntuación: 1.0)",Montículo,"En un montículo de máximos, ¿cómo encuentro el mínimo elemento?",2.0,2,Revisar el arreglo (las hojas),1.0,Usar una variable auxiliar para ir almacenando el mínimo elemento,1.0,,0.0,ef837014740ada5351f39db6910208979dac8b81cd79a12fd983d6c7075db77b,"Punto 1: Revisar el arreglo (las hojas) (Puntuación: 1.0), Punto 2: Usar una variable auxiliar para ir almacenando el mínimo elemento (Puntuación: 1.0)","En un montículo de máximos, no es posible encontrar el mínimo elemento directamente. Sin embargo, puedes encontrar el máximo elemento y luego invertir su signo para obtener el mínimo elemento.","En un montículo de máximos, el mínimo elemento se encuentra en la raíz del árbol. Para encontrarlo, se debe seguir la pauta de puntación que implica revisar el arreglo o las hojas del montículo y utilizar una variable auxiliar para ir almacenando el mínimo elemento en cada comparación. Al seguir estos pasos, se podrá determinar cuál es el mínimo elemento en el montículo de máximos.","Para encontrar el mínimo elemento en un montículo de máximos, primero debes revisar el arreglo buscando el máximo elemento. Luego, puedes usar una variable auxiliar para almacenar ese máximo elemento mientras buscas más elementos. Finalmente, cuando hayas recorrido todo el arreglo, la variable auxiliar contendrá el mínimo elemento.","En un montículo de máximos, no es posible encontrar directamente el mínimo elemento. Esto se debe a que un montículo de máximos está diseñado para tener el elemento máximo en la raíz del árbol. Si quieres encontrar el mínimo elemento, debes usar un montículo de mínimos en su lugar.","En el contexto de un algoritmo de búsqueda del mínimo en un montículo de máximos, una posible solución podría ser buscar el máximo elemento y luego encontrar su elemento hermano, que sería el mínimo elemento dentro del montículo."
Montículo,¿Qué propiedad básica de la estructura de árbol se cumple en un montículo binario de máximos?,2.0,1,Cada nodo es mayor o igual a sus hijos,2.0,,0.0,,0.0,f057dab5ea2d18b3914d62f6fd8025b37b62585756582a9f04d051eb5419f009,Punto 1: Cada nodo es mayor o igual a sus hijos (Puntuación: 2.0),Montículo,¿Qué propiedad básica de la estructura de árbol se cumple en un montículo binario de máximos?,2.0,1,Cada nodo es mayor o igual a sus hijos,2.0,,0.0,,0.0,f057dab5ea2d18b3914d62f6fd8025b37b62585756582a9f04d051eb5419f009,Punto 1: Cada nodo es mayor o igual a sus hijos (Puntuación: 2.0),La propiedad básica de la estructura de árbol que se cumple en un montículo binario de máximos es que cada nodo es mayor o igual a sus hijos.,La propiedad básica que se cumple en un montículo binario de máximos es que cada nodo es mayor o igual a sus hijos.,"En un montículo binario de máximos, cada nodo es menor o igual a sus hijos","En un montículo binario de máximos, la propiedad básica que se cumple es que para cada nodo, el valor almacenado es mayor o igual que los valores almacenados en sus hijos.","En una empresa de desarrollo de software, ¿qué propiedad básica de la estructura de datos se cumple en un montículo binario de máximos?"
Montículo,¿Cómo se representa un montículo binario en memoria?,2.0,1,Se debe utilizar un arreglo.,2.0,,0.0,,0.0,cd6b2697a4a7ba4a519314646d2afba3f506f2ffcfb7459017d095bfc7798b8a,Punto 1: Se debe utilizar un arreglo. (Puntuación: 2.0),Montículo,¿Cómo se representa un montículo binario en memoria?,2.0,1,Se debe utilizar un arreglo.,2.0,,0.0,,0.0,cd6b2697a4a7ba4a519314646d2afba3f506f2ffcfb7459017d095bfc7798b8a,Punto 1: Se debe utilizar un arreglo. (Puntuación: 2.0),"En la representación de un montículo binario en memoria, se utiliza un arreglo. (Puntuación: 2.0)","En la representación de un montículo binario en memoria, se utiliza un arreglo. Cada elemento del arreglo representa un nodo del montículo y los elementos se organizan de forma que se cumpla la propiedad del montículo. Para un montículo de máximo, el elemento con el valor más grande se encuentra en la posición 0 del arreglo. Los elementos a partir de la posición 1 se organizan de manera que el valor del padre sea mayor o igual que el valor de sus hijos.","En un montículo binario, puedes utilizar un arreglo para representar la estructura de datos. Cada elemento del arreglo representa un nodo del montículo y se puede calcular la posición de cada nodo utilizando índices de arreglo. Por ejemplo, el primer elemento del arreglo representaría la raíz del montículo y los elementos siguientes se pueden organizar en un orden específico para mantener las propiedades del montículo binario.","Un montículo binario se puede representar en memoria mediante un array. Los elementos del montículo se almacenan en un array de forma secuencial siguiendo el orden del árbol completo de nivel por nivel, de izquierda a derecha. Cada nodo del árbol se representa como un elemento del array y se calcula su posición en el array mediante fórmulas matemáticas. Por ejemplo, para el nodo i: el nodo padre se encuentra en la posición floor((i-1) / 2), el hijo izquierdo en la posición 2 * i + 1 y el hijo derecho en la posición 2 * i + 2. Esta representación en memoria permite acceder rápidamente a los elementos del montículo y realizar operaciones de inserción y eliminación eficientes.",En el montículo binario se representa utilizando un arreglo en memoria. (Puntuación: 2.0)
Montículo,¿Por qué se dice que la inserción en un montículo tiene complejidad temporal promedio O(1)?,2.0,1,La cantidad de niveles que debe subir el nuevo elemento insertado es constante en promedio.,2.0,,0.0,,0.0,8df7b012e5f89cf02629e4f9193e95768b083d18b5c9836f0a13a41e4e115228,Punto 1: La cantidad de niveles que debe subir el nuevo elemento insertado es constante en promedio. (Puntuación: 2.0),Montículo,¿Por qué se dice que la inserción en un montículo tiene complejidad temporal promedio O(1)?,2.0,1,La cantidad de niveles que debe subir el nuevo elemento insertado es constante en promedio.,2.0,,0.0,,0.0,8df7b012e5f89cf02629e4f9193e95768b083d18b5c9836f0a13a41e4e115228,Punto 1: La cantidad de niveles que debe subir el nuevo elemento insertado es constante en promedio. (Puntuación: 2.0),"La inserción en un montículo tiene complejidad temporal promedio O(1) porque en promedio, la cantidad de niveles que debe subir el nuevo elemento insertado es constante. Esto se debe a que los montículos están diseñados de manera que cada nodo tenga un valor mayor o igual que sus hijos, lo que asegura que el nuevo elemento insertado se colocará en la posición correcta con un número constante de comparaciones y movimientos hacia arriba en la estructura del montículo.","La inserción en un montículo tiene complejidad temporal promedio O(1) porque la cantidad de niveles que debe subir el nuevo elemento insertado es constante en promedio. Esto se debe a la estructura de datos del montículo, que garantiza que el elemento insertado siempre estará en una posición adecuada según el orden establecido. Por lo tanto, no es necesario recorrer todo el montículo para realizar la inserción, lo que resulta en un tiempo constante y eficiente.",La inserción en un montículo tiene complejidad temporal promedio O(1) debido a que la cantidad de niveles que debe subir el nuevo elemento insertado es constante en promedio.,"La inserción en un montículo tiene complejidad temporal promedio O(1) porque, en un montículo, los elementos se organizan de manera que el elemento más pequeño o más grande (dependiendo del tipo de montículo) siempre se encuentra en la raíz. Por lo tanto, al insertar un nuevo elemento, solo es necesario compararlo con el elemento de la raíz y, en caso de ser necesario, intercambiarlo. No es necesario recorrer todo el montículo para encontrar la posición correcta del nuevo elemento, lo que implica que la operación de inserción tiene una complejidad temporal constante en promedio.","Debido a que en promedio, la cantidad de niveles que debe subir el nuevo elemento insertado es constante. Esto se debe a la estructura de datos utilizada en un montículo, que garantiza una inserción eficiente y balanceada, manteniendo su complejidad en O(1)."
Montículo,"Una cola con prioridad se puede implementar con un arreglo de Colas, donde el índice de cada casilla indica la prioridad: 0, 1, 2,... ¿Qué ventaja(s) ofrece esta estructura en comparación a un montículo binario? ¿Qué desventaja(s) tiene?",2.0,2,Al menos 1 ventaja correcta,1.0,Al menos 1 desventaja correcta,1.0,,0.0,af553f30740fc881c1cf2d4aea3530fb952dd38ca9fd2f5579c87ba9c63a0920,"Punto 1: Al menos 1 ventaja correcta (Puntuación: 1.0), Punto 2: Al menos 1 desventaja correcta (Puntuación: 1.0)",Montículo,"Una cola con prioridad se puede implementar con un arreglo de Colas, donde el índice de cada casilla indica la prioridad: 0, 1, 2,... ¿Qué ventaja(s) ofrece esta estructura en comparación a un montículo binario? ¿Qué desventaja(s) tiene?",2.0,2,Al menos 1 ventaja correcta,1.0,Al menos 1 desventaja correcta,1.0,,0.0,af553f30740fc881c1cf2d4aea3530fb952dd38ca9fd2f5579c87ba9c63a0920,"Punto 1: Al menos 1 ventaja correcta (Puntuación: 1.0), Punto 2: Al menos 1 desventaja correcta (Puntuación: 1.0)",,"Una ventaja de implementar una cola con prioridad utilizando un arreglo de colas es que permite gestionar eficientemente elementos con diferentes prioridades. Además, no requiere realizar operaciones de ajuste o reordenamiento cuando se insertan o eliminan elementos. Por otro lado, una desventaja es que el tamaño del arreglo debe ser suficientemente grande para cubrir todas las posibles prioridades, lo que puede generar un desperdicio de memoria si hay muchas prioridades pero pocos elementos en cada una de ellas.","La implementación de una cola con prioridad utilizando un arreglo de colas permite una fácil organización de los elementos por prioridad, ya que cada casilla del arreglo representa una prioridad diferente. Además, esta implementación también facilita la inserción y eliminación de elementos en las colas correspondientes a cada prioridad. Sin embargo, una desventaja de esta estructura es que puede requerir un espacio de almacenamiento más amplio, especialmente si hay muchas prioridades diferentes y cada cola tiene pocos elementos.","Una ventaja de implementar una cola con prioridad utilizando un arreglo de colas es que ofrece una implementación más simple y directa. Cada elemento se inserta en la cola correspondiente a su prioridad, lo que facilita el acceso y la inserción en tiempo constante. Además, no se requiere realizar operaciones de mantenimiento de la estructura, como el reequilibrio en el caso de un montículo binario. Sin embargo, una desventaja de esta estructura es que no garantiza una complejidad de tiempo constante para las operaciones de extracción de elemento máximo, ya que se pueden tener que recorrer varias colas en busca del elemento con mayor prioridad.","La estructura de colas con prioridad implementadas con un arreglo de colas tiene la ventaja de tener un acceso más rápido a elementos de alta prioridad, ya que no es necesario realizar operaciones de rebalanceo como en un montículo binario. No obstante, la desventaja es que requiere más espacio de memoria en comparación a un montículo, ya que se reserva un arreglo completo para almacenar cada nivel de prioridad."
tabla hash,¿Que debería hacer una buena función hash?,3.0,2,Dispersar bien los datos dentro del arreglo,2.0,Mapear claves a posiciones,1.0,,0.0,b8cf5a38e9d488c38b8287afd0196b939f86769b981bc703bb698962ff6e552b,"Punto 1: Dispersar bien los datos dentro del arreglo (Puntuación: 2.0), Punto 2: Mapear claves a posiciones (Puntuación: 1.0)",tabla hash,¿Que debería hacer una buena función hash?,3.0,2,Dispersar bien los datos dentro del arreglo,2.0,Mapear claves a posiciones,1.0,,0.0,b8cf5a38e9d488c38b8287afd0196b939f86769b981bc703bb698962ff6e552b,"Punto 1: Dispersar bien los datos dentro del arreglo (Puntuación: 2.0), Punto 2: Mapear claves a posiciones (Puntuación: 1.0)","Una buena función hash debería dispersar bien los datos dentro del arreglo y mapear las claves a posiciones de manera efectiva. Dispersar bien los datos garantiza una distribución uniforme de los valores dentro del arreglo, minimizando las colisiones. Mapear las claves a posiciones adecuadas permite un acceso eficiente a los datos almacenados en la estructura hash.","Una buena función hash debería cumplir dos puntos principales. Primero, dispersar bien los datos dentro del arreglo para evitar colisiones y asegurar una distribución uniforme. Segundo, debería mapear claves a posiciones de manera eficiente y precisa, evitando la formación de clusters y minimizando los costos en tiempo y memoria. Estos dos puntos son fundamentales para asegurar un rendimiento óptimo en el uso de una función hash.","La primera cosa que una buena función hash debe hacer es mezclar los datos de manera aleatoria dentro del arreglo. Además, también debe asignar claves a posiciones de forma aleatoria. Esto permite una mayor dispersión y asegura un mejor rendimiento en el acceso a los elementos.","Una buena función hash debe cumplir con los siguientes requisitos: 1) Debe ser determinística, es decir, para el mismo dato de entrada siempre debe producir el mismo valor hash. 2) Debe producir una distribución uniforme de valores hash para minimizar las colisiones. 3) Debe ser eficiente en términos de tiempo y espacio. 4) Debe ser resistente a colisiones y dificultar la generación de colisiones intencionales. 5) Debe generar valores hash que sean lo más aleatorios posible para garantizar la seguridad en aplicaciones criptográficas.",Una función hash de calidad debe asegurarse de dispersar eficientemente los datos en el arreglo y mapear correctamente las claves a las posiciones del arreglo.
tabla hash,¿Para que sirve la función hash?,2.0,1,Mapear claves a posiciones dentro del arreglo,2.0,,0.0,,0.0,46a6e341c67d7d11112921befb7f472925cc7177e7ef38cedaa72f9053497084,Punto 1: Mapear claves a posiciones dentro del arreglo (Puntuación: 2.0),tabla hash,¿Para que sirve la función hash?,2.0,1,Mapear claves a posiciones dentro del arreglo,2.0,,0.0,,0.0,46a6e341c67d7d11112921befb7f472925cc7177e7ef38cedaa72f9053497084,Punto 1: Mapear claves a posiciones dentro del arreglo (Puntuación: 2.0),"La función hash se utiliza principalmente para mapear claves a posiciones dentro de un arreglo. Esto se logra asignando a cada clave un valor numérico único que se utiliza como índice en el arreglo. De esta manera, se puede acceder rápidamente a la posición correspondiente a una clave específica.","La función hash se utiliza para mapear claves a posiciones dentro del arreglo. Convierte cualquier dato en un valor numérico llamado hash o resumen de la clave, que luego se utiliza para ubicar rápidamente la posición correspondiente en el arreglo. Esto permite acceder de manera eficiente a la información almacenada y realizar operaciones como búsqueda, inserción y eliminación de elementos en estructuras de datos como tablas hash u otros arreglos asociativos.","En el contexto de una base de datos que utiliza la función hash para indexar registros, ¿a qué posición se podría mapear una clave específica?","La función hash sirve para mapear datos de tamaño arbitrario a valores de tamaño fijo. Se utiliza en criptografía, bases de datos, estructuras de datos, entre otros. Puede ser utilizada para garantizar la integridad de los datos, buscar y comparar rápidamente información, generar claves en estructuras de datos como tablas de hash, entre otras aplicaciones.","La función hash se utiliza para asignar claves a posiciones dentro de una estructura de datos como un arreglo, con el fin de facilitar la búsqueda y recuperación de información relacionada a través de dicha clave."
tabla hash,Mencione dos formas de manejar colisiones dentro de una tabla hash,2.0,2,Cada casilla guarda una lista de elementos colisionados,1.0,El dato colisionado se almacena en otra casilla de la tabla,1.0,,0.0,a0a19b5c11cfabfac910e7643f7b634182328c36ff8d93b1e9332182b83d3efa,"Punto 1: Cada casilla guarda una lista de elementos colisionados (Puntuación: 1.0), Punto 2: El dato colisionado se almacena en otra casilla de la tabla (Puntuación: 1.0)",tabla hash,Mencione dos formas de manejar colisiones dentro de una tabla hash,2.0,2,Cada casilla guarda una lista de elementos colisionados,1.0,El dato colisionado se almacena en otra casilla de la tabla,1.0,,0.0,a0a19b5c11cfabfac910e7643f7b634182328c36ff8d93b1e9332182b83d3efa,"Punto 1: Cada casilla guarda una lista de elementos colisionados (Puntuación: 1.0), Punto 2: El dato colisionado se almacena en otra casilla de la tabla (Puntuación: 1.0)","Punto 1: Cada casilla guarda una lista de elementos colisionados (Puntuación: 1.0), Punto 2: El dato colisionado se almacena en otra casilla de la tabla (Puntuación: 1.0)","Dentro de una tabla hash se pueden manejar las colisiones de dos formas principales. La primera forma es que cada casilla de la tabla guarde una lista de elementos colisionados, de esta manera se pueden almacenar múltiples elementos en una misma casilla. La segunda forma es que, en caso de colisión, el dato colisionado se almacena en otra casilla de la tabla, utilizando alguna función de dispersión para encontrar una nueva posición. Ambas formas permiten gestionar las colisiones y asegurar un buen rendimiento de la tabla hash.","Punto 1: Cada casilla guarda una lista de elementos colisionados (Puntuación: 1.0), Punto 2: El dato colisionado se almacena en otra casilla de la tabla (Puntuación: 1.0)","Existen varias formas de manejar colisiones en una tabla hash. Dos de ellas son: 1. Resolución por encadenamiento: se utilizan listas enlazadas dentro de cada cubeta para almacenar los elementos que colisionan en la misma posición de hash. 2. Resolución por sondeo lineal: cuando hay una colisión, se busca la siguiente posición vacía en la tabla para almacenar el elemento colisionado.",Cada casilla guarda una lista de elementos colisionados. El dato colisionado se almacena en otra casilla de la tabla.
tabla hash,¿En qué situación la función hash “módulo” podría causar muchas colisiones?,2.0,2,Claves son múltiplo de la capacidad de la tabla,1.0,Muchas claves con valores consecutivos,1.0,,0.0,59bbd0d398904970005ba0c2a5d8d04f8546b23771363311163137c95a4f5b10,"Punto 1: Claves son múltiplo de la capacidad de la tabla (Puntuación: 1.0), Punto 2: Muchas claves con valores consecutivos (Puntuación: 1.0)",tabla hash,¿En qué situación la función hash “módulo” podría causar muchas colisiones?,2.0,2,Claves son múltiplo de la capacidad de la tabla,1.0,Muchas claves con valores consecutivos,1.0,,0.0,59bbd0d398904970005ba0c2a5d8d04f8546b23771363311163137c95a4f5b10,"Punto 1: Claves son múltiplo de la capacidad de la tabla (Puntuación: 1.0), Punto 2: Muchas claves con valores consecutivos (Puntuación: 1.0)",La función hash 'módulo' podría causar muchas colisiones en dos situaciones: cuando las claves son múltiplo de la capacidad de la tabla y cuando hay muchas claves con valores consecutivos.,"La función hash 'módulo' podría causar muchas colisiones en dos situaciones: cuando las claves son múltiplo de la capacidad de la tabla y cuando hay muchas claves con valores consecutivos. En estos casos, es posible que varias claves se asignen a la misma posición en la tabla hash, lo que resulta en colisiones. Esto puede afectar la eficiencia y el rendimiento del algoritmo de hash utilizado.","En una situación en la que las claves son múltiplo de la capacidad de la tabla y hay muchas claves con valores consecutivos, la función hash 'módulo' podría causar muchas colisiones.","La función hash 'módulo' puede causar muchas colisiones cuando se utilizan claves que tienen distribuciones uniformes y el tamaño de la tabla hash es pequeño en comparación con el rango de las claves posibles. Esto significa que varias claves pueden obtener el mismo resultado al calcular el módulo y, por lo tanto, colisionar en la misma posición de la tabla hash.","Si se utiliza la función hash 'módulo' y las claves son múltiplo de la capacidad de la tabla y además muchas claves tienen valores consecutivos, entonces podría haber muchas colisiones."
