ID,Pregunta original,Variante
c4f6c99ba30f4d5f46848e0e601c89658a56f8aa7ec7466134ab26eb1dd17a98,"En un montículo de máximos, ¿dónde se encuentra el máximo y el mínimo elemento?","Si se tiene un montículo de máximos que representa las edades de los estudiantes en una escuela, ¿en qué posición se encontraría el estudiante de mayor edad?"
ef837014740ada5351f39db6910208979dac8b81cd79a12fd983d6c7075db77b,"En un montículo de máximos, ¿cómo encuentro el mínimo elemento?","En un montículo de máximos, ¿cómo puedo verificar si un elemento específico se encuentra en el montículo?"
f057dab5ea2d18b3914d62f6fd8025b37b62585756582a9f04d051eb5419f009,¿Qué propiedad básica de la estructura de árbol se cumple en un montículo binario de máximos?,"En el contexto de una tienda en línea que utiliza un montículo de máximos para almacenar el precio de los productos, ¿qué se puede asegurar acerca del precio almacenado en un nodo en comparación con los precios almacenados en sus hijos?"
cd6b2697a4a7ba4a519314646d2afba3f506f2ffcfb7459017d095bfc7798b8a,¿Cómo se representa un montículo binario en memoria?,"En el contexto de un programa de gestión de datos de una empresa, ¿cómo se puede representar eficientemente un montículo binario utilizando un arreglo en memoria?"
8df7b012e5f89cf02629e4f9193e95768b083d18b5c9836f0a13a41e4e115228,¿Por qué se dice que la inserción en un montículo tiene complejidad temporal promedio O(1)?,¿Cuál es la justificación de que la inserción en un montículo tenga complejidad temporal promedio O(1)?
af553f30740fc881c1cf2d4aea3530fb952dd38ca9fd2f5579c87ba9c63a0920,"Una cola con prioridad se puede implementar con un arreglo de Colas, donde el índice de cada casilla indica la prioridad: 0, 1, 2,... ¿Qué ventaja(s) ofrece esta estructura en comparación a un montículo binario? ¿Qué desventaja(s) tiene?","En el contexto de una aplicación de atención al cliente, donde se utilizan colas de diferentes prioridades para gestionar las solicitudes de los usuarios, ¿qué ventaja(s) ofrece esta estructura en comparación a un montículo binario? ¿Qué desventaja(s) tiene?"
b8cf5a38e9d488c38b8287afd0196b939f86769b981bc703bb698962ff6e552b,¿Que debería hacer una buena función hash?,"En el contexto de una tabla hash, ¿qué pautas deben seguirse para una buena función hash?"
46a6e341c67d7d11112921befb7f472925cc7177e7ef38cedaa72f9053497084,¿Para que sirve la función hash?,"En el contexto de una tabla hash, ¿cuál es la finalidad de la función hash?"
a0a19b5c11cfabfac910e7643f7b634182328c36ff8d93b1e9332182b83d3efa,Mencione dos formas de manejar colisiones dentro de una tabla hash,"En el contexto de una aplicación de gestión de contraseñas que utiliza una tabla hash para almacenar las contraseñas de los usuarios, ¿cómo se podrían manejar las colisiones en caso de que dos usuarios tengan la misma clave de acceso?"
59bbd0d398904970005ba0c2a5d8d04f8546b23771363311163137c95a4f5b10,¿En qué situación la función hash “módulo” podría causar muchas colisiones?,"Punto 1: ¿En qué situación muchas claves que son múltiplo de la capacidad de la tabla podrían causar muchas colisiones? (Puntuación: 1.0), Punto 2: ¿En qué situación muchas claves consecutivas podrían causar muchas colisiones? (Puntuación: 1.0)"
e0ba5ba7f962bc9ec8958ca2365150a3a285973d5ed658d8737b29ce2ea4566b,¿Qué es y para que sirve el factor de carga?,"[{'ID': 'variant_1', 'Pregunta': '¿Cuál es la relación entre los elementos en una tabla hash y el tamaño de esta?', 'Puntuacion': 1.0}, {'ID': 'variant_2', 'Pregunta': '¿Qué función cumple el factor de carga en una tabla hash?', 'Puntuacion': 1.0}]"
976cd47e56556dd213d5a34112e1ed024b67026c0efbe39d8420b75999c13816,"En una tabla hash, ¿por qué al eliminar un dato se “marca” (por ejemplo asignando NULL a la key) en vez de dejar la casilla en NULL directamente?","En el contexto de una implementación de una tabla hash que utiliza un algoritmo de resolución de colisiones basado en sondeo, ¿por qué se 'marca' (por ejemplo, asignando NULL a la clave) un dato eliminado en lugar de dejar la casilla en NULL directamente?"
0c492edcb05e834c66a3d68e635279e6f4c13179a394c22da3bd480dc9ccbd71,¿Cómo se realiza la expansión de la tabla hash cuando esta supera el 70% de su capacidad?,"En el contexto de una implementación de una tabla hash, ¿cuál es el procedimiento para realizar la expansión de la tabla cuando esta alcanza el 70% de su capacidad?"
c69ac256ccb4585bf64bb477c28c9c4f20e125c8b03fddf21269c899e3c3bd67,¿Qué propiedad debe cumplir un árbol binario de búsqueda?,"En el contexto de una base de datos ordenada, ¿qué condición debe cumplir un árbol binario de búsqueda para garantizar la eficiencia en la búsqueda de elementos?"
