Tópico,Pregunta,,,,,,,
Montículo,"En un montículo de máximos, ¿dónde se encuentra el máximo y el mínimo elemento?",,El máximo se encuentra en la raíz,1,El mínimo se encuentra en una hoja (que no es equivalente a  dentro del arreglo),1,,
Montículo,"En un montículo de máximos, ¿cómo encuentro el mínimo elemento?",,Revisar el arreglo (las hojas),1,Usar una variable auxiliar para ir almacenando el mínimo elemento,1,,
Montículo,¿Qué propiedad básica de la estructura de árbol se cumple en un montículo binario de máximos?,,Cada nodo es mayor o igual a sus hijos,2,,,,
Montículo,¿Cómo se representa un montículo binario en memoria?,,Se debe utilizar un arreglo.,2,,,,
Montículo,¿Por qué se dice que la inserción en un montículo tiene complejidad temporal promedio O(1)?,,La cantidad de niveles que debe subir el nuevo elemento insertado es constante en promedio.,2,,,,
Montículo,"Una cola con prioridad se puede implementar con un arreglo de Colas, donde el índice de cada casilla indica la prioridad: 0, 1, 2,... ¿Qué ventaja(s) ofrece esta estructura en comparación a un montículo binario? ¿Qué desventaja(s) tiene?",,Al menos 1 ventaja correcta,1,Al menos 1 desventaja correcta,1,,
tabla hash,¿Que debería hacer una buena función hash?,,Dispersar bien los datos dentro del arreglo,2,Mapear claves a posiciones,1,,
tabla hash,¿Para que sirve la función hash?,,Mapear claves a posiciones dentro del arreglo,2,,,,
tabla hash,Mencione dos formas de manejar colisiones dentro de una tabla hash,,Cada casilla guarda una lista de elementos colisionados,1,El dato colisionado se almacena en otra casilla de la tabla,1,,
tabla hash,¿En qué situación la función hash “módulo” podría causar muchas colisiones?,,Claves son múltiplo de la capacidad de la tabla,1,Muchas claves con valores consecutivos,1,,
tabla hash,¿Qué es y para que sirve el factor de carga?,,Relación entre los elementos que hay en la tabla y el tamaño de esta,1,Sirve para saber cuando agrandar la tabla ,1,,
tabla hash,"En una tabla hash, ¿por qué al eliminar un dato se “marca” (por ejemplo asignando NULL a la key) en vez de dejar la casilla en NULL directamente?",,Para evitar problemas con el sondeo (algoritmo de resolución de colisiones),2,,,,
tabla hash,¿Cómo se realiza la expansión de la tabla hash cuando esta supera el 70% de su capacidad?,,Se crea una nueva tabla hash de mayor tamaño,1,Se reinsertan los elementos existentes en la nueva tabla,1,,
ABB,¿Qué propiedad debe cumplir un árbol binario de búsqueda?,,La clave de cada nodo debe ser mayor que las claves de la izaquierda y menor a las de la derecha,2,,,,
ABB,¿Qué significa que un árbol binario de búsqueda esté equilibrado (AVL)?,,"Si para cada nodo, la diferencia en altura entre el subárbol izquierdo y el subárbol derecho es a lo más 1",2,,,,
ABB,Explique cómo obtener el siguiente nodo con clave mayor a la de un nodo dado en un árbol binario de búsqueda.,,Si tiene hijo derecho: se va al nodo derecho y luego a su hijo izquierdo más lejano,1,Si no tiene hijo derecho: primer ancestro con clave mayor,1,,
ABB,Explique un algoritmo para calcular la cantidad de nodos descendientes de un nodo en un árbol binario.,,Recorre el árbol,1,Se incrementa un contador por cada nodo visitado en el subárbol del nodo dado,1,,
ABB,Explique paso a paso la inserción en un árbol binario de búsqueda.,,"Explica cómo ""buscar"" la clave a insertar",0,"Se ""busca"" la clave a insertar",1,Se agrega el nuevo dato como hijo del último nodo visitado,1
