Tópico,Pregunta,Total Puntos,Total Puntos a Considerar,Punto 1,Puntuación 1,Punto 2,Puntuación 2,Punto 3,Puntuación 3,ID,Scoring Guideline
Montículo,"En un montículo de máximos, ¿dónde se encuentra el máximo y el mínimo elemento?",2.0,2,El máximo se encuentra en la raíz,1.0,El mínimo se encuentra en una hoja (que no es equivalente a  dentro del arreglo),1.0,,0.0,c4f6c99ba30f4d5f46848e0e601c89658a56f8aa7ec7466134ab26eb1dd17a98,"Punto 1: El máximo se encuentra en la raíz (Puntuación: 1.0), Punto 2: El mínimo se encuentra en una hoja (que no es equivalente a  dentro del arreglo) (Puntuación: 1.0)"
Montículo,"En un montículo de máximos, ¿cómo encuentro el mínimo elemento?",2.0,2,Revisar el arreglo (las hojas),1.0,Usar una variable auxiliar para ir almacenando el mínimo elemento,1.0,,0.0,ef837014740ada5351f39db6910208979dac8b81cd79a12fd983d6c7075db77b,"Punto 1: Revisar el arreglo (las hojas) (Puntuación: 1.0), Punto 2: Usar una variable auxiliar para ir almacenando el mínimo elemento (Puntuación: 1.0)"
Montículo,¿Qué propiedad básica de la estructura de árbol se cumple en un montículo binario de máximos?,2.0,1,Cada nodo es mayor o igual a sus hijos,2.0,,0.0,,0.0,f057dab5ea2d18b3914d62f6fd8025b37b62585756582a9f04d051eb5419f009,Punto 1: Cada nodo es mayor o igual a sus hijos (Puntuación: 2.0)
Montículo,¿Cómo se representa un montículo binario en memoria?,2.0,1,Se debe utilizar un arreglo.,2.0,,0.0,,0.0,cd6b2697a4a7ba4a519314646d2afba3f506f2ffcfb7459017d095bfc7798b8a,Punto 1: Se debe utilizar un arreglo. (Puntuación: 2.0)
Montículo,¿Por qué se dice que la inserción en un montículo tiene complejidad temporal promedio O(1)?,2.0,1,La cantidad de niveles que debe subir el nuevo elemento insertado es constante en promedio.,2.0,,0.0,,0.0,8df7b012e5f89cf02629e4f9193e95768b083d18b5c9836f0a13a41e4e115228,Punto 1: La cantidad de niveles que debe subir el nuevo elemento insertado es constante en promedio. (Puntuación: 2.0)
Montículo,"Una cola con prioridad se puede implementar con un arreglo de Colas, donde el índice de cada casilla indica la prioridad: 0, 1, 2,... ¿Qué ventaja(s) ofrece esta estructura en comparación a un montículo binario? ¿Qué desventaja(s) tiene?",2.0,2,Al menos 1 ventaja correcta,1.0,Al menos 1 desventaja correcta,1.0,,0.0,af553f30740fc881c1cf2d4aea3530fb952dd38ca9fd2f5579c87ba9c63a0920,"Punto 1: Al menos 1 ventaja correcta (Puntuación: 1.0), Punto 2: Al menos 1 desventaja correcta (Puntuación: 1.0)"
tabla hash,¿Que debería hacer una buena función hash?,3.0,2,Dispersar bien los datos dentro del arreglo,2.0,Mapear claves a posiciones,1.0,,0.0,b8cf5a38e9d488c38b8287afd0196b939f86769b981bc703bb698962ff6e552b,"Punto 1: Dispersar bien los datos dentro del arreglo (Puntuación: 2.0), Punto 2: Mapear claves a posiciones (Puntuación: 1.0)"
tabla hash,¿Para que sirve la función hash?,2.0,1,Mapear claves a posiciones dentro del arreglo,2.0,,0.0,,0.0,46a6e341c67d7d11112921befb7f472925cc7177e7ef38cedaa72f9053497084,Punto 1: Mapear claves a posiciones dentro del arreglo (Puntuación: 2.0)
tabla hash,Mencione dos formas de manejar colisiones dentro de una tabla hash,2.0,2,Cada casilla guarda una lista de elementos colisionados,1.0,El dato colisionado se almacena en otra casilla de la tabla,1.0,,0.0,a0a19b5c11cfabfac910e7643f7b634182328c36ff8d93b1e9332182b83d3efa,"Punto 1: Cada casilla guarda una lista de elementos colisionados (Puntuación: 1.0), Punto 2: El dato colisionado se almacena en otra casilla de la tabla (Puntuación: 1.0)"
tabla hash,¿En qué situación la función hash “módulo” podría causar muchas colisiones?,2.0,2,Claves son múltiplo de la capacidad de la tabla,1.0,Muchas claves con valores consecutivos,1.0,,0.0,59bbd0d398904970005ba0c2a5d8d04f8546b23771363311163137c95a4f5b10,"Punto 1: Claves son múltiplo de la capacidad de la tabla (Puntuación: 1.0), Punto 2: Muchas claves con valores consecutivos (Puntuación: 1.0)"
